"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"강서구","2017-09-25 09:00","0.004","0.6","0.012","0.044","49","21",126.8495382,37.5509786
"강서구","2017-09-24 12:00","0.006","0.5","0.039","0.024","72","43",126.8495382,37.5509786
"강서구","2017-09-24 17:00","0.005","0.5","0.059","0.013","81","48",126.8495382,37.5509786
"강서구","2017-09-25 08:00","0.005","0.6","0.006","0.047","51","25",126.8495382,37.5509786
"강서구","2017-09-25 01:00","0.004","0.5","0.026","0.026","57","26",126.8495382,37.5509786
"관악구","2017-09-24 21:00","0.005","0.5","0.048","0.015","53","41",126.9516133,37.4784063
"관악구","2017-09-24 13:00","0.005","0.5","0.061","0.013","63","39",126.9516133,37.4784063
"관악구","2017-09-25 03:00","0.004","0.5","0.019","0.023","46","30",126.9516133,37.4784063
"관악구","2017-09-24 14:00","0.005","0.5","0.070","0.010","63","42",126.9516133,37.4784063
"관악구","2017-09-24 20:00","0.005","0.6","0.058","0.014","64","50",126.9516133,37.4784063
"관악구","2017-09-24 19:00","0.005","0.6","0.055","0.020","62","48",126.9516133,37.4784063
"관악구","2017-09-25 02:00","0.005","0.6","0.012","0.039","44","29",126.9516133,37.4784063
"관악구","2017-09-25 10:00","0.005","0.6","0.011","0.039","45","25",126.9516133,37.4784063
"관악구","2017-09-24 11:00","0.005","0.5","0.024","0.024","52","31",126.9516133,37.4784063
"관악구","2017-09-25 04:00","0.004","0.5","0.019","0.021","38","26",126.9516133,37.4784063
"관악구","2017-09-25 05:00","0.005","0.5","0.019","0.020","37","23",126.9516133,37.4784063
"관악구","2017-09-24 22:00","0.004","0.5","0.040","0.018","40","29",126.9516133,37.4784063
"관악구","2017-09-24 15:00","0.006","0.5","0.074","0.010","60","43",126.9516133,37.4784063
"관악구","2017-09-24 18:00","0.005","0.5","0.062","0.016","60","47",126.9516133,37.4784063
"관악구","2017-09-24 12:00","0.005","0.5","0.045","0.017","55","35",126.9516133,37.4784063
"관악구","2017-09-25 09:00","0.005","0.6","0.005","0.041","40","22",126.9516133,37.4784063
"관악구","2017-09-25 07:00","0.005","0.6","0.003","0.037","38","24",126.9516133,37.4784063
"관악구","2017-09-24 17:00","0.005","0.5","0.068","0.011","60","47",126.9516133,37.4784063
"관악구","2017-09-24 23:00","0.005","0.5","0.034","0.022","36","23",126.9516133,37.4784063
"관악구","2017-09-24 16:00","0.006","0.5","0.073","0.010","62","46",126.9516133,37.4784063
"관악구","2017-09-25 06:00","0.005","0.5","0.005","0.033","35","23",126.9516133,37.4784063
"관악구","2017-09-24 24:00","0.005","0.5","0.024","0.029","40","28",126.9516133,37.4784063
"관악구","2017-09-25 08:00","0.005","0.5","0.005","0.039","40","22",126.9516133,37.4784063
"관악구","2017-09-25 01:00","0.005","0.6","0.015","0.038","40","24",126.9516133,37.4784063
"광진구","2017-09-24 22:00","0.002","0.6","0.060","0.016","42","35",127.0822938,37.5384843
"광진구","2017-09-25 10:00","0.003","0.7","0.020","0.036","40","29",127.0822938,37.5384843
"광진구","2017-09-24 14:00","0.003","0.8","0.062","0.027","57","43",127.0822938,37.5384843
"광진구","2017-09-24 20:00","0.003","0.8","0.065","0.022","67","50",127.0822938,37.5384843
"광진구","2017-09-24 13:00","0.003","0.8","0.049","0.028","53","38",127.0822938,37.5384843
"광진구","2017-09-24 15:00","0.003","0.8","0.068","0.028","62","46",127.0822938,37.5384843
"광진구","2017-09-25 02:00","0.003","0.8","0.019","0.044","42","30",127.0822938,37.5384843
"광진구","2017-09-25 03:00","0.003","0.7","0.019","0.036","42","29",127.0822938,37.5384843
"광진구","2017-09-24 19:00","0.003","0.9","0.067","0.026","67","51",127.0822938,37.5384843
"광진구","2017-09-25 09:00","0.003","0.7","0.014","0.044","40","29",127.0822938,37.5384843
"광진구","2017-09-25 05:00","0.003","0.7","0.020","0.030","40","27",127.0822938,37.5384843
"광진구","2017-09-24 11:00","0.003","0.9","0.024","0.037","53","34",127.0822938,37.5384843
"광진구","2017-09-24 18:00","0.003","0.8","0.071","0.027","65","51",127.0822938,37.5384843
"광진구","2017-09-24 21:00","0.002","0.8","0.062","0.022","65","50",127.0822938,37.5384843
"광진구","2017-09-25 07:00","0.003","0.6","0.030","0.023","38","25",127.0822938,37.5384843
"광진구","2017-09-24 24:00","0.002","0.7","0.040","0.031","40","27",127.0822938,37.5384843
"광진구","2017-09-24 17:00","0.004","0.8","0.077","0.024","64","49",127.0822938,37.5384843
"광진구","2017-09-24 12:00","0.003","0.9","0.034","0.033","54","35",127.0822938,37.5384843
"광진구","2017-09-25 01:00","0.003","0.8","0.026","0.043","43","33",127.0822938,37.5384843
"광진구","2017-09-24 16:00","0.004","0.8","0.080","0.022","60","49",127.0822938,37.5384843
"광진구","2017-09-24 23:00","0.002","0.6","0.051","0.016","34","25",127.0822938,37.5384843
"광진구","2017-09-25 04:00","0.003","0.8","0.024","0.028","41","29",127.0822938,37.5384843
"광진구","2017-09-25 08:00","0.004","0.7","0.020","0.038","39","29",127.0822938,37.5384843
"광진구","2017-09-25 06:00","0.003","0.7","0.025","0.025","38","25",127.0822938,37.5384843
